名前,淡いライバーカラー,濃いライバーカラー,超濃いライバーカラー,淡いサブカラー,濃いサブカラー,ライバー文字色,サブ文字色,VtL,卒業,読み,完全読み
立伝都々,#C31E5A,#C31E5A,#C31E5A,#8FDED0,#8FDED0,#FFFFFF,#FFFFFF,「行こう！」,FALSE,立伝都々 立伝 都々 たちつて とと tachitsute toto tatitute,
栞葉るり,#2887FF,#2887FF,#2887FF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
ミラン・ケストレル,#2C35BD,#2C35BD,#2C35BD,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,ミラン・ケストレル ミラン ケストレル みらん けすとれる milan kestrel,鬼伏千隼
北見遊征,#FF6E1E,#FF6E1E,#FF6E1E,#BEBED2,#BEBED2,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
魁星,#0C6F72,#0C6F72,#0C6F72,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
榊ネス,#C2AAE6,#C2AAE6,#C2AAE6,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
司賀りこ,#FFE36C,#FFE36C,#FFE36C,#839DDE,#839DDE,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
珠乃井ナナ,#63AED9,#63AED9,#63AED9,#FFC547,#FFC547,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
綺沙良,#846FC7,#846FC7,#846FC7,#9394B2,#9394B2,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
梢桃音,#FFC6E2,#FFC6E2,#FFC6E2,#DECDFC,#DECDFC,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
ルンルン,#D8E9FC,#D8E9FC,#D8E9FC,#F6F9FF,#F6F9FF,#FFFFFF,#FFFFFF,「行こう！」,FALSE,ルンルン るんるん lunlun runrun ちょま  るんちょま けもーの ケモーノ,
七瀬すず菜,#9DD9B9,#9DD9B9,#B9E089,#EA6969,#EA6969,#FFFFFF,#FFFFFF,「行こう！」,FALSE,七瀬すず菜 七瀬 すず菜 ななせ すずな nanase suzuna すーぴ,
早乙女ベリー,#DF6D7C,#DF6D7C,#DF6D7C,#BE9BCD,#BE9BCD,#FFFFFF,#FFFFFF,「行こう！」,FALSE,早乙女ベリー 早乙女 ベリー さおとめ べりー saotome berry,
雲母たまこ,#FFD264,#FFD264,#FFD264,#E9674D,#E9674D,#FFFFFF,#FFFFFF,「行こう！」,FALSE,雲母たまこ 雲母 たまこ きらら kirara tamako きらたま きらにぱ,
酒寄颯馬,#BA6EA5,#BA6EA5,#BA6EA5,#E4DDD2,#E4DDD2,#FFFFFF,#FFFFFF,「行こう！」,FALSE,酒寄颯馬 酒寄 颯馬 さかより そうま sakayori soma souma,
渚トラウト,#77B6C2,#77B6C2,#77B6C2,#FAA370,#FAA370,#FFFFFF,#FFFFFF,「行こう！」,FALSE,渚トラウト 渚 トラウト なぎさ とらうと nagisa trout ,
一橋綾人,#9FCEC9,#9FCEC9,#9FCEC9,#EFEFEF,#EFEFEF,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
五木左京,#F3A4A9,#F3A4A9,#F3A4A9,#A7A5AD,#A7A5AD,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
十河ののは,#7DC7B0,#7DC7B0,#7DC7B0,#E1CC57,#E1CC57,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
夜牛詩乃,#BD81D4,#BD81D4,#BD81D4,#F0BBC6,#F0BBC6,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
蝸堂みかる,#FFE673,#FFE673,#FFE673,#9ADBEB,#9ADBEB,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
猫屋敷美紅,#FF8C73,#FF8C73,#FF8C73,#9992E8,#9992E8,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
皇れお,#EEB1CC,#EEB1CC,#EEB1CC,#9BF4E8,#9BF4E8,#FFFFFF,#FFFFFF,「行こう！」,FALSE,皇れお すめらぎ れお sumeragi reo,
