名前,淡いライバーカラー,濃いライバーカラー,超濃いライバーカラー,淡いサブカラー,濃いサブカラー,ライバー文字色,サブ文字色,VtL,卒業,読み,完全読み,メモ
倉持めると,#EB4682,#EB4682,#bd77cd,#43bcc5,#43bcc5,#FFFFFF,#FFFFFF,「行こう！」,FALSE,倉持めると 倉持 めると くらもち kuramochi meruto めるち,,
佐伯イッテツ,#8C4664,#8C4664,#d12982,#ff528e,#d12982,#FFFFFF,#FFFFFF,「行こう！」,FALSE,佐伯イッテツ イッテツ いってつ さいき saiki ittetsu,佐伯一徹 ヒーロー 絶対的ヒーロー,-
赤城ウェン,#FF8C9B,#FF8C9B,#db2031,#9fd8ee,#52bcc0,#FFFFFF,#FFFFFF,「行こう！」,FALSE,赤城ウェン あかぎ うぇん ウェン wen KPニキ ニキ けーぴー akagi,ヒーロー,
宇佐美リト,#FAC31E,#FAC31E,#F18d00,#63c0ab,#63c0ab,#FFFFFF,#FFFFFF,「行こう！」,FALSE,宇佐美リト リト うさみ りと usami rito,ヒーロー,
緋八マナ,#64C8F0,#64C8F0,#01abd9,#ffe33b,#ffcf3b,#FFFFFF,#FFFFFF,「行こう！」,FALSE,緋八マナ マナ ひばち まな hibachi hibati mana,ヒーロー,
星導ショウ,#A58CDC,#A58CDC,#4c469c,#afcfe6,#90b4d7,#FFFFFF,#FFFFFF,「行こう！」,FALSE,星導ショウ ほしるべ しょう hoshirube sho hosirube syo ショウ るべ しるべすた sylvestar タコ たこ 蛸,星導晶 ヒーロー 鑑定士,-
叢雲カゲツ,#6EB487,#6EB487,#1f9868,#9c76a6,#9c76a6,#FFFFFF,#FFFFFF,「行こう！」,FALSE,叢雲カゲツ カゲツ むらくも かげつ nurakumo kagetsu 忍者,ヒーロー 忍者,
小柳ロウ,#5A5FAA,#5A5FAA,#054996,#b0c0e3,#054996,#FFFFFF,#054996,「行こう！」,FALSE,小柳ロウ ロウ こやなぎ ろう koyanagi rou,ヒーロー 白狼,
伊波ライ,#DCFF50,#2068fb,#014099,#e10254,#014099,#30364d,#FFFFFF,「行こう！」,FALSE,伊波ライ ライ いなみ らい inami rai いなみそ みそ メカニック,ヒーロー メカニック,-
立伝都々,#C31E5A,#C31E5A,#df528b,#8FDED0,#54beb1,#FFFFFF,#FFFFFF,「行こう！」,FALSE,立伝都々 立伝 都々 たちつて とと tachitsute toto tatitute た行 たぎょう,バーサーカー,
栞葉るり,#2887FF,#2887FF,#0c36b2,#f3dc41,#d2b773,#FFFFFF,#FFFFFF,「行こう！」,FALSE,栞葉るり 栞葉 るり しおりは shioriha ruri るりドッグ るり嬢,犬のおまわりさん 犬のお巡りさん 犬,-
ミラン・ケストレル,#2C35BD,#2C35BD,#4469e3,#d2b773,#a9905f,#FFFFFF,#FFFFFF,「行こう！」,FALSE,ミラン・ケストレル ミラン ケストレル みらん けすとれる milan kestrel,鬼伏千隼 時魔道士,
北見遊征,#FF6E1E,#FF6E1E,#942522,#BEBED2,#3a4c7b,#FFFFFF,#FFFFFF,「行こう！」,FALSE,北見遊征 北見 遊征 きたみ ゆうせい kitami yusei yuusei,呪術師,
魁星,#0C6F72,#0C6F72,#30805a,#fd6c62,#e94638,#FFFFFF,#FFFFFF,「行こう！」,FALSE,魁星 かいせい kaisei,鍵屋,
榊ネス,#C2AAE6,#C2AAE6,#5e5f95,#0999bd,#5190bf,#FFFFFF,#FFFFFF,「行こう！」,FALSE,榊ネス 榊 ネス さかき ねす sakaki ness nesu,執事,
司賀りこ,#FFE36C,#d7791b,#7584fa,#839DDE,#839DDE,#FFFFFF,#FFFFFF,「行こう！」,FALSE,司賀りこ 司賀 りこ しが shiga riko,,
珠乃井ナナ,#63AED9,#63AED9,#63AED9,#FFC547,#FFC547,#FFFFFF,#FFFFFF,「行こう！」,FALSE,珠乃井ナナ 珠乃井 ナナ たまのい なな tamanoi nana ななたま,,
綺沙良,#846FC7,#846FC7,#846FC7,#9394B2,#9394B2,#FFFFFF,#FFFFFF,「行こう！」,FALSE,綺沙良 きさら kisara きぃさま きいさま,,
梢桃音,#FFC6E2,#FFC6E2,#FFC6E2,#DECDFC,#DECDFC,#FFFFFF,#FFFFFF,「行こう！」,FALSE,梢桃音 梢 桃音 こずえ もね kozue mone もねち,ぽやぽやのたぬき 麗しお姉さん,
ルンルン,#D8E9FC,#cad3fa,#939bf4,#F6F9FF,#d2b8fa,#FFFFFF,#939bf4,「行こう！」,FALSE,ルンルン るんるん lunlun runrun ちょま  るんちょま けもーの ケモーノ,,
七瀬すず菜,#9DD9B9,#5fd898,#B9E089,#EA6969,#8f5fc3,#FFFFFF,#FFFFFF,「行こう！」,FALSE,七瀬すず菜 七瀬 すず菜 ななせ すずな nanase suzuna すーぴ,,
早乙女ベリー,#DF6D7C,#DF6D7C,#DF6D7C,#BE9BCD,#BE9BCD,#FFFFFF,#FFFFFF,「行こう！」,FALSE,早乙女ベリー 早乙女 ベリー さおとめ べりー saotome berry,,
雲母たまこ,#FFD264,#FFD264,#FFD264,#E9674D,#E9674D,#FFFFFF,#FFFFFF,「行こう！」,FALSE,雲母たまこ 雲母 たまこ きらら kirara tamako きらたま きらにぱ,,
酒寄颯馬,#BA6EA5,#BA6EA5,#B7589d,#E4DDD2,#E4DDD2,#FFFFFF,#FFFFFF,「行こう！」,FALSE,酒寄颯馬 酒寄 颯馬 さかより そうま sakayori soma souma,,
渚トラウト,#77B6C2,#77B6C2,#45b7c2,#FAA370,#FAA370,#FFFFFF,#FFFFFF,「行こう！」,FALSE,渚トラウト 渚 トラウト なぎさ とらうと nagisa trout ,,
一橋綾人,#9FCEC9,#9FCEC9,#9FCEC9,#EFEFEF,#EFEFEF,#FFFFFF,#FFFFFF,「行こう！」,FALSE,一橋綾人 一橋 綾人 ひとつばし あやと hitotsubashi ayato あやてぃーアヤティー ばしあや,エリート 精神科医,
五木左京,#F3A4A9,#F3A4A9,#F3A4A9,#A7A5AD,#A7A5AD,#FFFFFF,#FFFFFF,「行こう！」,FALSE,五木左京 五木 左京 いつき さきょう itsuki sakyo,エリート,
十河ののは,#7DC7B0,#7DC7B0,#7DC7B0,#E1CC57,#E1CC57,#FFFFFF,#FFFFFF,「行こう！」,FALSE,十河ののは 十河 ののは とがわ togawa nonoha,サラマンダー,
夜牛詩乃,#BD81D4,#BD81D4,#BD81D4,#F0BBC6,#F0BBC6,#FFFFFF,#FFFFFF,「行こう！」,FALSE,夜牛詩乃 夜牛 詩乃 やぎゅう しの yagyu shino,牛鬼,
蝸堂みかる,#FFE673,#FFE673,#FFE673,#9ADBEB,#9ADBEB,#FFFFFF,#FFFFFF,「行こう！」,FALSE,蝸堂みかる 蝸堂 みかる かどう kado kadou mikaru,カタツムリ,
猫屋敷美紅,#FF8C73,#FF8C73,#FF8C73,#9992E8,#9992E8,#FFFFFF,#FFFFFF,「行こう！」,FALSE,猫屋敷美紅 猫屋敷 美紅 ねこやしき みく nekoyashiki miku みくぽぽ みくやしき,猫又,
皇れお,#EEB1CC,#EEB1CC,#EEB1CC,#9BF4E8,#9BF4E8,#FFFFFF,#FFFFFF,「行こう！」,FALSE,皇れお すめらぎ れお sumeragi reo,,
篠宮ゆの,#AAD9F4,#AAD9F4,#AAD9F4,#F8F482,#F8F482,#FFFFFF,#FFFFFF,「行こう！」,FALSE,篠宮ゆの しのみや ゆの shinomiya yuno ゆのたそ,,
城瀬いすみ,#E5E2F6,#E5E2F6,#E5E2F6,#F7CFEA,#F7CFEA,#FFFFFF,#FFFFFF,「行こう！」,FALSE,城瀬いすみ しろせ いすみ いすみゃ みゃ shirose isumi,,
花籠つばさ,#818FBF,#818FBF,#818FBF,#A3DADE,#A3DADE,#FFFFFF,#FFFFFF,「行こう！」,FALSE,花籠つばさ はなかご つばさ hanakago tsubasa ごつば,,
