名前,枠ライバーカラー,ライバー文字色,淡いライバーカラー,濃いライバーカラー,グラデライバーカラー,超濃いライバーカラー,グラデ文字色,はてなサブカラー,プルダウンサブカラー,線サブカラー,サブ文字色,VtL,甲斐田,卒業,読み,完全読み,ユニット読み,メモ,
月ノ美兎,#E43F3B,#FFFFFF,#E43F3B,#E43F3B,#3f4681,#3f4681,#FFFFFF,#ff82aa,#ff82aa,#ff82aa,#FFFFFF,「行きましょう！」,TRUE,FALSE,月ノ美兎 美兎 つきのみと みと tsukino mito,委員長,元1期生 1期生 いちきせい いっきせい,,
勇気ちひろ,#7BB3EE,#FFFFFF,#7BB3EE,#7BB3EE,#2a8bed,#2a8bed,#FFFFFF,#5561d1,#2a8bed,#5561d1,#FFFFFF,「行こう！」,FALSE,TRUE,勇気ちひろ ゆうきちひろ ちひろ chihiro yuki yuuki ちー tihiro,,元1期生 1期生 いちきせい いっきせい,,
える,#E2364F,#FFFFFF,#E2364F,#E2364F,#744474,#744474,#FFFFFF,#e9d5d4,#e9d5d4,#aa9b9b,#FFFFFF,「行こう！」,TRUE,FALSE,える elu eru えるえる,エルフ スノー ホワイト パラダイス エルサント フロウ ワスレナ ピュア プリンセス リーブル ラブ ハイデルン ドコドコ ヤッタゼ ヴァルキュリア パッション アールヴ ノエル チャコボシ エルアリア フロージア メイドイン ブルーム エル すのー ほわいと ぱらだいす えるさんと ふろう わすれな ぴゅあ ぷりんせす りーぶる らぶ はいでるん どこどこ やったぜ ゔぁるきゅりあ ぱっしょん あーるゔ のえる ちゃこぼし えるありあ ふろーじあ めいどいん ぶるーむ える,Chill＋L'aile ちるれる Rain Drops レインドロップス れいんどろっぷす れいどろ レイドロ 元1期生 1期生 いちきせい いっきせい,,
渋谷ハジメ,#D7FAD7,#374c38,#D7FAD7,#7fad81,#899433,#899433,#374c38,#9fa9f7,#9fa9f7,#75a3ee,#FFFFFF,「行こう！」,FALSE,FALSE,渋谷ハジメ ハジメ しぶやはじめ はじめ hajime hazime shibuya sibuya はじき めにき ハジキ メニキ,,元1期生 1期生 いちきせい いっきせい,,
樋口楓,#FBAF71,#FFFFFF,#FBAF71,#FBAF71,#E74d3d,#E74d3d,#FFFFFF,#a664d6,#a664d6,#530689,#FFFFFF,「行こう！」,TRUE,FALSE,樋口楓 楓 ひぐちかえで かえで higuchi higuti でろーん,,元1期生 1期生 いちきせい いっきせい,,
静凛,#745399,#FFFFFF,#745399,#745399,#5b5b84,#5b5b84,#FFFFFF,#ae6dbc,#ae6dbc,#ae6dbc,#FFFFFF,「行こう！」,FALSE,FALSE,静凛 凛 しずかりん りん shizuka rin しずりん sizuka,,元1期生 1期生 いちきせい いっきせい,,
鈴谷アキ,#90a300,#90a300,#F2F9C3,#ebc8a9,#a88f6d,#a88f6d,#7a674f,#a8285b,#ebc8a9,#a8285b,#FFFFFF,「行こう！」,FALSE,TRUE,鈴谷アキ すずや あき アキ suzuya aki,,元1期生 1期生 いちきせい いっきせい,,
モイラ,#91ABD0,#FFFFFF,#91ABD0,#91ABD0,#5e6f87,#5e6f87,#FFFFFF,#B9f9ff,#B9f9ff,#7dcee8,#91ABD0,「行こう！」,FALSE,FALSE,モイラ もいら moira 女神 めがみ,神 女神,元1期生 1期生 いちきせい いっきせい,,
鈴鹿詩子,#FA4F62,#FFFFFF,#FA4F62,#FA4F62,#FF93ae,#975d63,#FFFFFF,#FF93ae,#FF93ae,#FF93ae,#FFFFFF,「行こう！」,FALSE,TRUE,鈴鹿 詩子 すずか うたこ suzuka utako お姉さん おねえさん,,元2期生 2期生 にきせい,,
宇志海いちご,#FFCACE,#d66a88,#FFCACE,#fca3b7,#fe7b97,#fe7b97,#FFFFFF,#c28fc1,#c28fc1,#c28fc1,#FFFFFF,「行こう！」,FALSE,FALSE,宇志海いちご いちご うしみ ushimi ichigo うみうし,,元2期生 2期生 にきせい,,
家長むぎ,#FF899D,#FFFFFF,#FF899D,#FF899D,#fd9ad1,#fd9ad1,#FFFFFF,#fbd499,#fbd499,#eeb88f,#FFFFFF,「行こう！」,FALSE,FALSE,家長むぎ いえなが むぎ ienaga mugi,,元2期生 2期生 にきせい,,
夕陽リリ,#BFFFFF,#3d5da9,#BFFFFF,#83ccd2,#30e5e5,#30e5e5,#3d5da9,#fbc6ed,#fbc6ed,#3d5da9,#FFFFFF,「行こう！」,FALSE,FALSE,夕陽リリ リリ ゆうひ りり yuuhi yuhi riri 未来人 みらいじん,,元2期生 2期生 にきせい,,
物述有栖,#81D4E2,#FFFFFF,#81D4E2,#81D4E2,#89bfff,#89bfff,#FFFFFF,#fdf3d2,#fdf3d2,#89bfff,#89bfff,「行こう！」,FALSE,FALSE,物述有栖 有栖 もののべ ありす mononobe alice ぽにょにょべ,,元2期生 2期生 にきせい,,
文野環,#EBDDB4,#FFFFFF,#EBDDB4,#c4971b,#75665f,#75665f,#FFFFFF,#21a6b0,#7ef0f3,#21a6b0,#FFFFFF,「行こう！」,FALSE,FALSE,文野環 文野 環 ふみの たまき fumino tamaki humino 野良猫 のらねこ,猫,元2期生 2期生 にきせい,,
伏見ガク,#FFCB5B,#FFFFFF,#FFCB5B,#FFCB5B,#d99a33,#d99a33,#FFFFFF,#a791aa,#a791aa,#dc7748,#FFFFFF,「行こう！」,TRUE,FALSE,伏見ガク 伏見 ガク ふしみ がく Fushimi gaku がっくん ガッくん,はて？ ピーッス ピース,元2期生 2期生 にきせい,,
ギルザレンⅢ世,#002FA7,#FFFFFF,#002FA7,#002FA7,#363b38,#363b38,#FFFFFF,#b0b2d7,#b0b2d7,#9d2220,#FFFFFF,「行こう！」,FALSE,FALSE,ギルザレン ぎるざれん 3世 三世 ３世 Ⅲ世 さんせい Gilzaren III,吸血鬼 ヴァンパイア,元2期生 2期生 にきせい,,
剣持刀也,#A590AF,#FFFFFF,#A590AF,#8f70ae,#6051a1,#6051a1,#FFFFFF,#2ecd4b,#2ecd4b,#181818,#FFFFFF,「行こう！」,TRUE,FALSE,剣持刀也 剣持 刀也 けんもち とうや kenmochi toya もちさん 力也,,ROF-MAO ろふまお VACHSS ばっくす バックス 元2期生 2期生 にきせい,,
森中花咲,#C8F39A,#618400,#C8F39A,#bdd463,#8da74a,#8da74a,#FFFFFF,#f9d1e6,#f9d1e6,#ff99cb,#FFFFFF,「行こう！」,FALSE,FALSE,森中花咲 森中 花咲 もりなか かざき morinaga kazaki かざちゃん,,元2期生 2期生 にきせい,,
叶,#ABD3D8,#FFFFFF,#ABD3D8,#ABD3D8,#55919e,#55919e,#FFFFFF,#c7b6a6,#c7b6a6,#666a74,#FFFFFF,「行こう！」,FALSE,FALSE,叶 kanae かなえ かなかな カナエ,,VACHSS ばっくす バックス EXゲーマーズ 元ゲーマーズ げーまーず ゲーマーズ げまず,,
赤羽葉子,#CA636C,#FFFFFF,#CA636C,#CA636C,#8a465c,#8a465c,#FFFFFF,#e25e61,#e25e61,#570b0d,#FFFFFF,「行こう！」,FALSE,FALSE,赤羽葉子 赤羽 葉子 あかばね ようこ akabane yoko youko バネキ ばねき,,EXゲーマーズ 元ゲーマーズ げーまーず ゲーマーズ げまず,,
笹木咲,#EF9AAF,#FFFFFF,#EF9AAF,#EF9AAF,#dcb8f2,#193157,#FFFFFF,#dcb8f2,#dcb8f2,#6e509e,#FFFFFF,「行こう！」,FALSE,FALSE,笹木咲 笹木 咲 ささき さく sasaki saku やよ,,EXゲーマーズ 元ゲーマーズ げーまーず ゲーマーズ げまず,,
本間ひまわり,#FBE340,#8d685f,#FBE340,#FF9D45,#FF8114,#FF8114,#FFFFFF,#bde83e,#bde83e,#a6db00,#FFFFFF,「行こう！」,TRUE,FALSE,本間ひまわり 本間 ひまわり ほんま honma himawari ひまちゃん,,EXゲーマーズ 元ゲーマーズ げーまーず ゲーマーズ げまず,,
魔界ノりりむ,#EF6F94,#FFFFFF,#EF6F94,#D44968,#393138,#d00000,#FFFFFF,#7dcef4,#7dcef4,#393138,#FFFFFF,「行こう！」,FALSE,FALSE,魔界ノりりむ りりむ まかいの makaino ririmu,サキュバス いいむ リリム キスミー ラブリーハート ロリータニア りりむ きすみー らぶりーはーと ろりーたにあ,EXゲーマーズ 元ゲーマーズ げーまーず ゲーマーズ げまず,,
葛葉,#ACA7BB,#FFFFFF,#ACA7BB,#535255,#7A0002,#7A0002,#FFFFFF,#535255,#ACA7BB,#d00000,#FFFFFF,「行こう！」,FALSE,FALSE,葛葉 くずは kuzuha ずは KZH,吸血鬼 ヴァンパイア,VACHSS ばっくす バックス EXゲーマーズ 元ゲーマーズ げーまーず ゲーマーズ げまず,,
椎名唯華,#F1C8DE,#FFFFFF,#F1C8DE,#ff82c4,#64394e,#64394e,#FFFFFF,#ff59ae,#d6a3d7,#d6a3d7,#FFFFFF,「行こう！」,FALSE,FALSE,椎名唯華 椎名 唯華 しいな ゆいか Shiina Yuika しいしい しぃしぃ,霊能者 霊能力者,EXゲーマーズ 元ゲーマーズ げーまーず ゲーマーズ げまず,,
ドーラ,#A83E4A,#FFFFFF,#A83E4A,#A83E4A,#f75929,#f75929,#FFFFFF,#ff9927,#ff9927,#7A0002,#FFFFFF,「行こう！」,FALSE,FALSE,ドーラ どーら dola ドレイク,ファイアードレイク ドレイク,チームIDD IDD SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
轟京子,#E66186,#FFFFFF,#E66186,#E66186,#a89ca0,#a89ca0,#FFFFFF,#bc0939,#F8A69A,#F8A69A,#FFFFFF,「行こう！」,FALSE,FALSE,轟京子 轟 京子 とどろき きょうこ todoroki kyoko kyouko ロキ ろき,,SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
シスター・クレア,#DFC6A8,#FFFFFF,#DFC6A8,#DFC6A8,#cc9d68,#cc9d68,#FFFFFF,#c2b0e3,#c2b0e3,#c2b0e4,#FFFFFF,「行こう！」,FALSE,FALSE,シスター・クレア シスタークレア シスター クレア しすたー くれあ sister Claire cleaire,シスター,チームIDD IDD SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
花畑チャイカ,#40CF84,#FFFFFF,#40CF84,#40CF84,#00a43d,#00a43d,#FFFFFF,#fff100,#fff100,#151515,#FF5738,「行こう！」,FALSE,FALSE,花畑チャイカ チャイカ はなばたけ ちゃいか hanabatake chaikaチャイちゃん 第一第二第三皇女,エルフ ブライン チャイカ・ブライン,SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
社築,#B6C6F2,#FFFFFF,#B6C6F2,#7495f2,#003985,#003985,#FFFFFF,#7b91ce,#7b91ce,#003985,#FFFFFF,「行こう！」,TRUE,FALSE,社築 社 築 やしろ きずく yashiro kizuku やしきず,,SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
安土桃,#F295CE,#FFFFFF,#F295CE,#F295CE,#e54057,#e54057,#FFFFFF,#58b341,#58b341,#4a4d8a,#FFFFFF,「行こう！」,FALSE,TRUE,安土桃 安土 桃 あづち もも azuchi momo,,SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
鈴木勝,#7B788A,#FFFFFF,#7B788A,#5f5f5f,#9f86ca,#9f86ca,#FFFFFF,#666AA9,#9f86ca,#666AA9,#FFFFFF,「行こう！」,FALSE,FALSE,鈴木勝 鈴木 勝 すずき まさる suzuki masaru,,Rain Drops レインドロップス れいんどろっぷす れいどろ レイドロ SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
緑仙,#5DCCAB,#FFFFFF,#5DCCAB,#5DCCAB,#0f5f52,#0f5f52,#FFFFFF,#992726,#27a2ad,#992726,#FFFFFF,「行こう！」,TRUE,FALSE,緑仙 りゅーしぇん 仙河緑 ryushen しぇん みどり せんが,,こじらせハラスメント こじらせはらすめんと こじハラ こじはら Rain Drops レインドロップス れいんどろっぷす れいどろ レイドロ SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
卯月コウ,#F9E97A,#848062,#F9E97A,#e2c400,#b3a797,#b3a797,#FFFFFF,#47a86f,#47a86f,#00a0c1,#FFFFFF,「いっぞ！」,FALSE,FALSE,卯月コウ 卯月 コウ うづき こう uzuki kou うづコウ,,NZMN なぞめん SEEDs しーず SEEDs1期生 しーずいっきせい たねいち,,
神田笑一,#F4D35B,#FFFFFF,#F4D35B,#e1494c,#657e55,#657e55,#FFFFFF,#4a4856,#4a4856,#4a4856,#FFFFFF,「行こう！」,FALSE,FALSE,神田笑一 神田 笑一 かんだ しょういち kanda shoichi shouichi,,SEEDs しーず,,
