曲名,サムネ用リンク,MVリンク,フル尺リンク,MV公開,3Dリンク,3Dリンク2,公開日,ユニット,歌唱,歌唱2,歌唱3,男女,外部,箱内カバー,全体曲,ライバー自身が制作（作曲・イラスト等）,備考,備考2,備考3,備考4,踊ろう！,振付リンク,振付リンク2,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3D配信リンク2,3D配信リンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・キラキラ,ハッピー・ポジティブ,ポップな,可愛い,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,アンニュイ・ネガティブ,神秘的・幻想的,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
浮世の演舞[Re:vision],https://youtu.be/z55LIzKpeWk?si=zvfB-kUt4Sm20GDl,,,FALSE,,,2025/04/02,VΔLZ,長尾景、弦月藤士郎、甲斐田晴,,,男性ユニット,FALSE,FALSE,FALSE,TRUE,作詞：VΔLZ,作曲・編曲：弦月藤士郎,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00181087,FALSE,https://www.youtube.com/live/qdQtHY34W08?si=lTzLyi-sHn1ASwX8&t=2940,,5周年,,,,,VΔLZの初オリジナル楽曲「浮世の演舞」をアレンジ・アップデート。,,128,,,,10,,,,,,,,,30,25,25,,,10,,,,,5,3,30,20,100,
RESQ!!,https://youtu.be/fX3TY4WqvoE?si=Og0vSNZIWw03D8fh,https://youtu.be/fX3TY4WqvoE?si=Og0vSNZIWw03D8fh,,TRUE,,,2025/04/03,にじGTA救急隊,樋口楓、星川サラ、小野町春香、魁星、健屋花那、桜凛月、ミン・スゥーハ、グウェル・オス・ガール、宇佐美リト、セフィナ、オ・ジユ、森中花咲、長尾景、Vezalius Bandage、弦月藤士郎、Maria Marionette、三枝明那,,,男女混合,FALSE,FALSE,FALSE,TRUE,作詞・作曲・動画：弦月藤士郎,Special Thanks：叶、成瀬鳴、甲斐田晴,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始まりの理由を,https://youtu.be/w9IoVoN6UEI?si=hzYYLi9suW2MiBU8,https://youtu.be/w9IoVoN6UEI?si=hzYYLi9suW2MiBU8,,TRUE,,,2025/04/04,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,https://youtu.be/tG6h83PreFk?si=bWsAZ9411maEic_d&t=822,,MAGIC3D,,,,,,,192,,,,35,,,,,,15,,,10,,,,,,,5,35,,5,2,35,20,100,
Doubtful one chance,https://youtu.be/vwz1dttBcvE?si=_SP8aAN_O2CTZERV,https://youtu.be/vwz1dttBcvE?si=_SP8aAN_O2CTZERV,,TRUE,,,2025/04/04,チームヘラクレス2024,緑仙、長尾景、龍惺ろたん、松本吉弘,,,男女混合,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古傷マーモット,https://youtu.be/ZOZBpyC90Kw?si=HuTRxdovQYxt4tmw,https://youtu.be/ZOZBpyC90Kw?si=HuTRxdovQYxt4tmw,,TRUE,,,2025/04/24,ROF-MAO,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,作詞：加賀美ハヤト、剣持刀也、不破湊、甲斐田晴,作曲：甲斐田晴,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,https://youtu.be/y8P2TdDPekk?si=SOiAbe6pH-fSb1Rk,,,,,100,,12.5,,,,,,,,,,,,,,,,12.5,25,,,20,4,1,25,17.5,70,
Accel!!(Shorts ver.),https://youtu.be/mSMxr8Xca8c?si=qeMmwRzaGcaP6EQ-,,,FALSE,,,2025/04/27,,レイン･パターソン,,,女性ソロ,FALSE,FALSE,FALSE,TRUE,作曲：弦月藤士郎,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUNDA!アッパレ☆運命,https://youtu.be/haXUZE32hTA?si=ajvXSWdclCjCf8GM,https://youtu.be/haXUZE32hTA?si=ajvXSWdclCjCf8GM,,TRUE,https://www.youtube.com/watch?v=ir2IUWsI6kc,,2025/05/02,,卯月コウ、魔界ノりりむ、リゼ・ヘルエスタ、加賀美ハヤト、山神カルタ、フレン・E・ルスタリオ,,,男女混合,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/7A2fzZVp,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Cover】Virtual to LIVE（SitR仙台）,https://youtu.be/fX-vx-Yi2vo?si=cS0hhs9D9X6ZgwBy,https://youtu.be/fX-vx-Yi2vo?si=cS0hhs9D9X6ZgwBy,,FALSE,,,2025/05/10,,卯月コウ、魔界ノりりむ、リゼ・ヘルエスタ、加賀美ハヤト、山神カルタ、フレン・E・ルスタリオ,,,男女混合,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鐘が鳴る場所で,https://youtu.be/xrVBdnGUwUQ?si=weQN_Z-hSPMI5dWu,https://youtu.be/xrVBdnGUwUQ?si=weQN_Z-hSPMI5dWu,,TRUE,,,2025/05/10,,卯月コウ、魔界ノりりむ、リゼ・ヘルエスタ、加賀美ハヤト、山神カルタ、フレン・E・ルスタリオ,,,男女混合,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,FALSE,TRUE,https://linkco.re/srA6snsc,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Cover】Arc goes oN (Live ver Singin' in the Rainbow! at Sendai),https://youtu.be/BftVJiUp13g?si=K38g2ArftpLiUPUc,,,FALSE,,,2025/05/10,,卯月コウ、魔界ノりりむ、リゼ・ヘルエスタ、加賀美ハヤト、山神カルタ、フレン・E・ルスタリオ,,,男女混合,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00186443,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
