曲名,サムネ用リンク,MVリンク,フル尺リンク,MV公開,3Dリンク,3Dリンク2,公開日,ユニット,歌唱,歌唱2,歌唱3,男女,外部,箱内カバー,全体曲,ライバー自身が制作（作曲・イラスト等）,備考,備考2,備考3,備考4,踊ろう！,振付リンク,振付リンク2,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3D配信リンク2,3D配信リンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・キラキラ,ハッピー・ポジティブ,ポップな,可愛い,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,アンニュイ・ネガティブ,神秘的・幻想的,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
【Cover】Arc goes oN (Live ver Singin' in the Rainbow! at Kobe),https://youtu.be/AQSF094jqOA?si=aVG-Ec3ujLlPmQbL,,,FALSE,,,2025/08/30,,樋口楓、竜胆尊、レヴィ・エリファ、シェリン・バーガンディ、甲斐田晴、伊波ライ,,,男女混合,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00201582,FALSE,,,,,,,,「にじさんじ7周年」をテーマとした、盛り上がりやエモさを感じられる楽曲のライブ音源。,えにまが,95,5,,30,,,,25,,,,,,,,,,,10,,,30,,5,3,30,20,100,
【Cover】Summer and Peace!,https://youtu.be/RKgCTSHr1xA?si=OowLmj5buZ_Yebfm,https://youtu.be/RKgCTSHr1xA?si=OowLmj5buZ_Yebfm,,FALSE,,,2025/08/30,,樋口楓、竜胆尊、レヴィ・エリファ、シェリン・バーガンディ、甲斐田晴、伊波ライ,,,男女混合,FALSE,TRUE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シビルアイ,https://youtu.be/QqtBFXVtf2Y?si=nIDSyBvQFrXintLc,https://youtu.be/QqtBFXVtf2Y?si=nIDSyBvQFrXintLc,,TRUE,,,2025/09/11,,星導ショウ,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nijisanjirecords.lnk.to/hoshirubesho_civileye,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Cover】Arc goes oN (Live ver Singin' in the Rainbow! at Fukuoka),https://youtu.be/AByUW1cxcgQ?si=mmXLBf6Nw4Ip7jmp,,,FALSE,,,2025/09/13,,鷹宮リオン、夢追翔、星川サラ、不破湊、オリバー・エバンス、倉持めると,,,男女混合,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00202279,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
おったまげったん,https://youtu.be/z_PYVPUsDyc?si=wkcEj5VObhMSL4rx,https://youtu.be/z_PYVPUsDyc?si=wkcEj5VObhMSL4rx,,TRUE,,,2025/10/01,ROF-MAO,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,,,男性ユニット,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,FALSE,TRUE,TRUE,FALSE,TRUE,https://rof-mao.lnk.to/ottamaID,TRUE,,,,,,,,,,184,,,,,,,35,40,,10,,,,,,,,,,,,15,4,2,40,25,100,
【Cover】Arc goes oN (Live ver Singin' in the Rainbow! at Hiroshima),https://youtu.be/Zl4jCSh0wEc?si=qRkEjlKEtAqO5OVW,,,FALSE,,,2025/10/18,,ジョー・力一、周央サンゴ、壱百満天原サロメ、セラフ・ダズルガーデン、星導ショウ、栞葉るり,,,男女混合,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00183946,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ドリーマーズハイ,https://youtu.be/TD29NOMz3hA?si=rbJwkl0HZ4fApBlw,https://youtu.be/TD29NOMz3hA?si=rbJwkl0HZ4fApBlw,,TRUE,,,2025/10/23,ROF-MAO,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,,,男性ユニット,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,FALSE,TRUE,TRUE,FALSE,TRUE,https://rof-mao.lnk.to/dreamershighID,FALSE,,,,,,,,,,134,,,10,,,,30,10,,30,,,15,,,,,,,,,5,6,2,30,16.66666667,100,
B.E.T,https://youtu.be/4av0URX6vz4?si=7CMdxK4h-D71O8w4,https://youtu.be/4av0URX6vz4?si=7CMdxK4h-D71O8w4,,TRUE,,,2025/12/05,,渚トラウト,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,ラップ：渚トラウト,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永遠をめぐる翼,https://youtu.be/Y3eHuYhDsgo?si=c6d5VqyCCzGe2Yx2,https://youtu.be/Y3eHuYhDsgo?si=c6d5VqyCCzGe2Yx2,,TRUE,,,2025/12/20,,緋八マナ,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/DD9HA654,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
君の夢,https://youtu.be/iLyCy1sZfrc?si=APWV7CItfC89kSiP,https://youtu.be/iLyCy1sZfrc?si=APWV7CItfC89kSiP,,TRUE,,,2025/12/30,,珠乃井ナナ,,,女性ソロ,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Cover】Arc goes oN (Live ver Singin' in the Rainbow! at Tokyo),https://youtu.be/k3b3iMuY1lA?si=pa69Eib9U7YZPaIY,,,FALSE,,,2026/01/18,,月ノ美兎、家長むぎ、剣持刀也、伏見ガク、夕陽リリ、笹木咲、椎名唯華,,,男女混合,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00211573,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVI,https://youtu.be/-Kx6OuzbIB4?si=es7jBml3ZXJKPtk2,https://youtu.be/-Kx6OuzbIB4?si=es7jBml3ZXJKPtk2,,TRUE,,,2026/01/19,XVI,莉犬、エクス・アルビオ、ズズ、伊波ライ、るぅと、赤城ウェン、白波瀬ソル、BobSappAim、ロゼ、Ras、月島ごう、pepper、小森めと、巫神こん、綾見ユラ,,,男女混合,TRUE,FALSE,FALSE,FALSE,口笛：エクス・アルビオ,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
絶対♡しーくれっと!!,https://youtu.be/uD5k6c79zts?si=UAAU4MspdknI-N__,,,FALSE,,,2026/01/25,Chill＋L'aile,ラトナ・プティ、アルス・アルマル、える、竜胆尊,,,女性ユニット,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://linkco.re/dGdXndFX,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なんやかんや、冬。,https://youtu.be/KxDODsgViW0?si=rCVEolCNam7R7Bzk,https://youtu.be/KxDODsgViW0?si=rCVEolCNam7R7Bzk,,TRUE,https://www.youtube.com/watch?v=-S6wB-KKXHc,,2026/02/05,,月ノ美兎、笹木咲、椎名唯華,,,女性ユニット,FALSE,FALSE,FALSE,TRUE,作曲：弦月藤士郎・常楽寺澪,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat-Can Telephone,https://youtu.be/hzP2BolxemM?si=DaoQhcQyB06OzzTk,https://youtu.be/hzP2BolxemM?si=gtulxHEXDBO5BnX5,,TRUE,,,2026/02/14,,健屋花那,,,女性ソロ,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,備考：キャラクターソング（ストグラ）,,,TRUE,https://youtube.com/shorts/hkSvbe3LsDE?si=2B-nIpWYtEVLwsDI,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晴れと褻,https://youtu.be/CQJDyd1GfCM?si=osPlAOZogB4V2yic,https://youtu.be/CQJDyd1GfCM?si=osPlAOZogB4V2yic,,TRUE,,,2026/03/27,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://accelnotes.lnk.to/kaidaharu_haretoke,FALSE,,,,,,,,「快晴」をモチーフにした楽曲。,,182,,,,,,,20,5,,20,10,,,,,,,7.5,,17.5,20,,7,0,20,14.28571429,100,
IENOMI,https://youtu.be/mq1LMVcyBCU?si=FIWEXoiRZEczfKTZ,https://youtu.be/mq1LMVcyBCU?si=FIWEXoiRZEczfKTZ,,TRUE,,,2026/03/30,Oriens,佐伯イッテツ、赤城ウェン、宇佐美リト、緋八マナ,,,男性ユニット,FALSE,FALSE,FALSE,FALSE,,,,,TRUE,https://youtube.com/shorts/q1ddDfwpacE?si=e3J6lJvq1GcjXbwK,https://youtube.com/shorts/UKJ9QUZnICw?si=j0FV-Ox45IUs25x0,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/t17ZhRfP,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寿司でたまらない,https://youtu.be/r2SPvwHJfQk?si=kXYPBbhcVaaQZtAG,https://youtu.be/r2SPvwHJfQk?si=kXYPBbhcVaaQZtAG,,TRUE,,,2026/04/01,紫男,夢追翔、星導ショウ、ミラン・ケストレル、渚トラウト,,,男性ユニット,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nijisanjirecords.lnk.to/murasakidan_sushidetamaranai,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インターネットは最悪 2026,https://youtu.be/cXPNwLQ_-A0?si=ATLkHMr5UkiD89MG,https://youtu.be/cXPNwLQ_-A0?si=ATLkHMr5UkiD89MG,,TRUE,,,2026/04/01,こじらせハラスメント,緑仙、弦月藤士郎,,,"男女混合, 男性ユニット",FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイカラーコンタクト,https://youtube.com/shorts/A_lUu3Nji88?si=1yzJoX7L8M62D0Vp,,,FALSE,,,2026/04/01,不安定性バイアス,森中花咲、健屋花那、えま★おうがすと,,,女性ユニット,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,企画：#こじハラアイドルプロデュース,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超スキ！,https://youtube.com/shorts/IXxb0HJXEgE?si=17k6KxfkQMMxD1Bi,,,FALSE,,,2026/04/01,我ら可愛い向上委員会,天宮こころ、石神のぞみ、七瀬すず菜、早乙女ベリー、蝸堂みかる,,,女性ユニット,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,企画：#こじハラアイドルプロデュース,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コスモガール,https://youtube.com/shorts/JTe5UEp14D4?si=1Dxi6I_oKPj1oxKu,,,FALSE,,,2026/04/01,COSMO GIRL,夕陽リリ、葉加瀬冬雪、小清水透,,,女性ユニット,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,企画：#こじハラアイドルプロデュース,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN,https://youtube.com/shorts/vfgc0mt3CFA?si=XV9fQLhlz-AEUFWN,,,FALSE,,,2026/04/01,QUEENDOM,レヴィ・エリファ、戌亥とこ、珠乃井ナナ、綺沙良,,,女性ユニット,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,企画：#こじハラアイドルプロデュース,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
むてきのおうさま,https://youtu.be/_XI9MzrcHC4?si=agp7978AKLVS4LJi,https://youtu.be/_XI9MzrcHC4?si=agp7978AKLVS4LJi,,TRUE,,,2026/04/02,VΔLZ,長尾景、弦月藤士郎、甲斐田晴,,,男性ユニット,FALSE,FALSE,FALSE,TRUE,作詞：甲斐田晴,作曲：弦月藤士郎,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://accelnotes.lnk.to/valz_mutekinoosama,FALSE,,,,,https://youtube.com/shorts/zSh4oaAoUQk?si=7HxJYMNlT9NYBmbj,,,,元気 明るい,122,,,,,,,37.5,25,,5,,,,17.5,,,,5,,,10,,6,2,37.5,16.66666667,100,
茜色の歌,https://youtu.be/4nkUJdYrxXc?si=I0GtvsZUuB7hgcEE,,,FALSE,,,2026/04/05,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/tV5TT3ZA,FALSE,,,,,,,,,"立場や環境で役割が増えると、色々な事に腰が重くなってしまう
上手くこなせているのに、何かが引っかかってしまう
子どもの頃はきっとそうじゃなかった
どんなに大人になっても、あなたはあなたで良い
そんな曲です",170,5,5,,10,,,,,,,30,,,,,,,,15,10,25,,7,2,30,14.28571429,100,
CRACKS,https://youtu.be/_s2nsyHrblQ?si=PQyWqj9QJhuIxUP5,https://youtu.be/_s2nsyHrblQ?si=PQyWqj9QJhuIxUP5,,TRUE,,,2026/04/15,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/PD5gUs1q?lang=ja,FALSE,,,,,,,,「天気雨」をモチーフにした楽曲。,,189,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
STORM,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,,,FALSE,,,2026/04/15,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/PD5gUs1q?lang=ja,FALSE,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
アイスブレイクブレイカー,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,,,FALSE,,,2026/04/15,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/PD5gUs1q?lang=ja,TRUE,,,,,,,,「雹」をモチーフにした楽曲。,,180,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
Rainy Days,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,,,FALSE,,,2026/04/15,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/PD5gUs1q?lang=ja,FALSE,,,,,,,,「雨」をモチーフにした楽曲。,,240,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
雪の降る日に,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,,,FALSE,,,2026/04/15,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/PD5gUs1q?lang=ja,FALSE,,,,,,,,「雪」をモチーフにした楽曲。,,80,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
にじさんじ体操第一,https://youtu.be/dPsUwd0Ad90?si=vvxg9yakHnWByFk5,https://youtu.be/dPsUwd0Ad90?si=vvxg9yakHnWByFk5,,TRUE,,,2026/04/27,,月ノ美兎、不破湊,おともだち：宇志海いちご、雲母たまこ,,男女混合,FALSE,FALSE,FALSE,FALSE,,,,,TRUE,,,,FALSE,FALSE,FALSE,TRUE,https://nijisanjirecords.lnk.to/nijisanji_calisthenics_no1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIPPER,https://youtu.be/sJEspe_pG18?si=5YxYh8PzI1-7LVJl,https://youtu.be/sJEspe_pG18?si=5YxYh8PzI1-7LVJl,,TRUE,,,2026/04/30,ROF-MAO,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,,,男性ユニット,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://rof-mao.lnk.to/flipperID,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearties,https://youtu.be/fDZXiBNkETM?si=QiecWhWN9lRfmWQd,,,FALSE,,,2026/05/01,MECHATU-A,佐伯イッテツ、赤城ウェン、宇佐美リト、緋八マナ、星導ショウ、叢雲カゲツ、小柳ロウ、伊波ライ,,,男性ユニット,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,FALSE,TRUE,TRUE,https://accelnotes.lnk.to/mechatu-a_thehearties,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怪談,https://youtu.be/fMMcifbL4Go?si=1YaBm5nHcsN2S_E9,,,FALSE,,,2026/05/02,,長尾景,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,原案：長尾景,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://linkco.re/SmNV6nAx,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
貪欲を患う,https://youtu.be/-e8Bj9l-G3w?si=l_jGrNiv0TUcC7W7,https://youtu.be/-e8Bj9l-G3w?si=l_jGrNiv0TUcC7W7,,TRUE,,,2026/05/02,,夢追翔,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,作詞・作曲：夢追翔,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://linkco.re/mHpV4N4c,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial and Error,https://youtu.be/ROwoqiMfJV0?si=m-iQuRBhyzlDNScv,https://youtu.be/ROwoqiMfJV0?si=m-iQuRBhyzlDNScv,,TRUE,,,2021/07/02,,静凛、東堂コハク,,,女性ユニット,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00088843,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial and Error (Japanese Ver.) feat. 静凛,https://youtu.be/xrEIa4X9T-g?si=mqyLz7BwaPot50_O,,,FALSE,,,2021/07/09,,静凛,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00088843,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial and Error (Japanese Ver.) feat. 東堂コハク,https://youtu.be/lMzQfxWFxz8?si=0b1gtlrfH5avS6eT,,,FALSE,,,2021/07/09,,東堂コハク,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00088843,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial and Error (English Ver.) feat. Elira Pendora,https://youtu.be/5XxnseNbWVA?si=uz80iexi8G3aQtKY,,,FALSE,,,2021/07/09,,Elira Pendora,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://nex-tone.link/A00088843,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial and Error (Indonesian Ver.) feat. Nara Haramaung,https://youtu.be/rf_sshJTcIw?si=SoLyIZ3dc2g6UaGj,,,FALSE,,,2021/07/09,,ナラ・ハラマウン,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://nex-tone.link/A00088843,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial and Error (Korean Ver.) feat. Chae Ara,https://youtu.be/EfgOeqNHxPs?si=QdJJNoPQF8B3TVTX,,,FALSE,,,2021/07/09,,チェ・アラ,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://nex-tone.link/A00088843,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial and Error (Chinese Ver.) feat. Eine,https://youtu.be/NhYB4TGm0mA?si=ZhTv91FL0Aav9Zv8,,,FALSE,,,2021/07/09,,艾因（Eine）,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://nex-tone.link/A00088843,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レイオブライト,https://youtu.be/Ulwa_tGMFTs?si=OpfYTyS88G-OpKwn,https://youtu.be/Ulwa_tGMFTs?si=OpfYTyS88G-OpKwn,,TRUE,,,2025/04/18,,伊波ライ,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,FALSE,TRUE,https://linkco.re/MfGt3ZBV,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロウル,https://youtu.be/ah30Cz45aEQ?si=zrPnhPkqh8T0T3cA,https://youtu.be/ah30Cz45aEQ?si=zrPnhPkqh8T0T3cA,,TRUE,,,2025/10/23,,伊波ライ,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/9TzB6NPv,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc goes oN,https://youtu.be/hHq_laIG66Y?si=cwuEviDbtmSUfQP4,https://youtu.be/hHq_laIG66Y?si=cwuEviDbtmSUfQP4,,TRUE,,,2025/02/03,,月ノ美兎、樋口楓、剣持刀也、春崎エアル、椎名唯華、三枝明那、アンジュ・カトリーナ、ラトナ・プティ、ハナ・マキア、魔使マオ、不破湊、ミン・スゥーハ、ガオン、ライラ・アルストロエメリア、セフィナ、ローレン・イロアス、ハ・ユン、ナ・セラ、伊波ライ、珠乃井ナナ、榊ネス、Elira Pendora、Petra Gurin、Millie Parfait、Ike Eveland、Sonny Brisko、Aia Amare、Ren Zotto,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://nex-tone.link/arcgoeson,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc goes oN,https://youtu.be/0T03RM5954g?si=zM-_G10YJPuFYw36,,,FALSE,,,2025/02/26,,"月ノ美兎、ハナ・マキア、魔使マオ、不破湊、ハ・ユン、伊波ライ、珠乃井ナナ",,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://nex-tone.link/arcgoeson,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc goes oN,https://youtu.be/Cyi_aK0yvJ8?si=hYAlMtiG-mrF6HYo,,,FALSE,,,2025/02/26,,樋口楓、椎名唯華、三枝明那、ミン・スゥーハ、ガオン、ローレン・イロアス、ナ・セラ,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://nex-tone.link/arcgoeson,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc goes oN,https://youtu.be/4RkKji64v2c?si=4LplNPfBriCIev2d,,,FALSE,,,2025/02/26,,剣持刀也、春崎エアル、アンジュ・カトリーナ、ラトナ・プティ、ライラ・アルストロエメリア、セフィナ、榊ネス,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://nex-tone.link/arcgoeson,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc goes oN,https://youtu.be/grvyFmb2Sgg?si=18y0x_ottA5UnzdV,,,FALSE,,,2025/02/26,,Elira Pendora、Petra Gurin、Millie Parfait、Ike Eveland、Sonny Brisko、Aia Amare、Ren Zotto,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://nex-tone.link/arcgoeson,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サイゲツラップ(TRACK/Prod.Heel Hold),https://youtu.be/grvyFmb2Sgg?si=18y0x_ottA5UnzdV,,,FALSE,,,2023/08/19,,叢雲カゲツ、佐伯イッテツ,,,男性ユニット,FALSE,FALSE,FALSE,TRUE,ラップ：叢雲カゲツ,MIX：伊波ライ,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
にじさんじフェス校歌ーNIJIFes. School Song,https://youtu.be/4TGtOr1yFLs?si=DT437HLV3fB6376I,https://youtu.be/4TGtOr1yFLs?si=DT437HLV3fB6376I,,TRUE,,,2025/02/16,ふみのとふみ,文野環、フミ,特別出演：ギルザレンⅢ世、宇佐美リト,,女性ユニット,FALSE,FALSE,FALSE,TRUE,作詞：ふみのとふみ（文野環、フミ）,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://nex-tone.link/A00178214,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レッスン,https://youtu.be/gk1q4Or5PKM?si=-M6dZxG3TzWUnbmW,https://youtu.be/gk1q4Or5PKM?si=-M6dZxG3TzWUnbmW,,TRUE,,,2022/06/24,世怜音女学院演劇同好会,北小路ヒスイ、朝日南アカネ、東堂コハク、西園チグサ、周央サンゴ,,,女性ユニット,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
