曲名,サムネ用リンク,公開日,歌唱,ユニット,男女,備考,備考2,備考3,MV公開,MVリンク,3Dリンク,踊ろう！,振付リンク,振付リンク2,ライバー自身が制作（作曲・イラスト等）,ファンメイド,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3Dリンク2,3Dリンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
Follow Your Heart,https://youtu.be/_x9yuEiI2Qk?si=Kgq-yNiL3ZLT8b1n,2022/07/01,加賀美ハヤト、甲斐田晴,加賀美ハヤト&甲斐田晴 from ROF-MAO,男性,,,,TRUE,https://youtu.be/_x9yuEiI2Qk?si=Kgq-yNiL3ZLT8b1n,,FALSE,,,FALSE,FALSE,,,,FALSE,TRUE,https://rof-mao.lnk.to/followID,FALSE,,,,,,,,,,135,,,,,,30,30,30,,,,,,,,10,,,4,3,30,25,100,
Shiny Sunny Step,https://youtu.be/r-KERqlFgNc?si=kB7XXaxU3qbD_g8f,2022/08/01,甲斐田晴,,男性,作詞：甲斐田晴,,,TRUE,https://youtu.be/r-KERqlFgNc?si=kB7XXaxU3qbD_g8f,,FALSE,,,TRUE,FALSE,TRUE,,,TRUE,TRUE,https://linkco.re/DBzS2BD0,FALSE,https://www.youtube.com/live/soxEueAbxnA?si=r0vRvGydkvCaX5hc&t=12011,,年越23,,,,,,,234,,,,,,45,20,10,,,,,,,,25,,,4,2,45,25,100,
パパンパ！Blue Summer Days,https://youtu.be/JrAEiCq5y7w?si=I8FTQiBc0gM_Zhhz,2022/08/31,甲斐田晴,,男性,,,,TRUE,https://youtu.be/JrAEiCq5y7w?si=I8FTQiBc0gM_Zhhz,,FALSE,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,https://linkco.re/7yCdFcFy,TRUE,,,,,,,,,,186,25,,35,,,27.5,,10,,,,,,,,,,2.5,5,3,35,20,100,
一撃,https://youtu.be/fc96asHhF8k?si=fZg5rzUCe4WWr5Uh,2022/10/02,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,,https://youtu.be/fc96asHhF8k?si=fZg5rzUCe4WWr5Uh,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,FALSE,https://www.youtube.com/live/qVylRMGabv8?si=7eP7KhyWh9BOd5aj&t=2140,https://www.youtube.com/live/JZ3sYu1WDC8?si=KxHRpRkMqwfjDQWM&t=2673,,,,,,,,142,,,20,40,,,,,,,40,,,,,,,,3,2,40,33.33333333,100,
ぼくのヒーロー,https://youtu.be/xI5sCTYyl1s?si=hvqmutwuoF7s7dio,2022/10/26,甲斐田晴,,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://linkco.re/DBzS2BD0,FALSE,,,,,,,,,,77,,25,,,,,,,2.5,,,,5,,30,27.5,10,,6,3,30,16.66666667,100,
cycle,https://youtu.be/7yBiijUd4xM?si=j_Mq_yB_fiVka19f,2022/10/26,甲斐田晴,,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://linkco.re/DBzS2BD0,FALSE,,,,,,,,,,130,,5,,,,,,,,5,25,15,40,,,,10,,6,2,40,16.66666667,100,
パラレルノー細胞,https://youtu.be/NnCZbTATu30?si=d7kZYLPH07FZUMfF,2022/10/26,甲斐田晴,,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://linkco.re/DBzS2BD0,TRUE,https://www.youtube.com/live/qdQtHY34W08?si=UgsTSJzGXlg4vYfi&t=1713,,5周年演奏,,,,,,,160,10,,25,15,30,,,,,,20,,,,,,,,5,2,30,20,100,
清風,https://youtu.be/Ly8_v8iKfwo?si=xJN8WW-EsML4svE7,2022/10/26,甲斐田晴,,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://linkco.re/DBzS2BD0,FALSE,,,,,,,,,,172,5,,,,,10,,35,30,,,,,,,20,,,5,2,35,20,100,
UNSEEN TREASURES,https://youtu.be/18H9NQWKT44?si=ydT4YIPvVjkpvRie,2022/10/26,甲斐田晴,,男性,作詞：甲斐田晴,作曲：甲斐田晴、PHYZ,,TRUE,https://youtu.be/18H9NQWKT44?si=ydT4YIPvVjkpvRie,,FALSE,,,TRUE,FALSE,,,,TRUE,TRUE,https://linkco.re/DBzS2BD0,TRUE,,,,,,,,,,140,,,,,,35,,35,,,,,,,,20,10,,4,2,35,25,100,
前向きフェニックス,https://youtu.be/Ptwg1EUJfdU?si=JYxVgpF1MVVkGWMQ&t=702,2023/02/23,加賀美ハヤト,ROF-MAO,男性,作詞：剣持刀也、不破湊、甲斐田晴,作曲：甲斐田晴,,FALSE,,,FALSE,,,TRUE,FALSE,,,,FALSE,FALSE,,TRUE,,,,https://youtube.com/shorts/X0MJumKh1ZE?si=1RUwq1a5RuMrDH5p,https://youtu.be/Ptwg1EUJfdU?si=JYxVgpF1MVVkGWMQ&t=702,,,,,160,,,20,20,,10,,,,,,,,,,,,20,4,0,20,17.5,70,
何色,https://youtu.be/nZxaIPSY_Ks?si=PrUxj6PEIVD57aj5,2023/04/03,甲斐田晴,,男性,,,,TRUE,https://www.youtube.com/watch?v=nZxaIPSY_Ks,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://linkco.re/QZH1qXqY,FALSE,,,,,,,,,,130,,10,,,,,,,45,,,,,15,,20,10,,5,1,45,20,100,
