曲名,再生数,MV再生,サブスク再生,MVリンク,サムネ用リンク,プレイリスト用サムネ,公開日,歌唱,作詞,作曲,編曲,ユニット,MV公開,本人の作詞/作曲,有観客ライブ披露済み,オンラインライブ等で披露済,メモ1,3D映像公開,3Dリンク,3Dリンク2,3Dリンク3,メモ2,独特なコーレス,BPM,Shortsリンク,サブスクリンク,その他リンク,その他2,説明,メモ3,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用
【Cover】シル・ヴ・プレジデント,,,,https://youtube.com/shorts/-bCXH9MC2C0?si=tk9g45FaAoufJnKO,https://youtube.com/shorts/-bCXH9MC2C0?si=tk9g45FaAoufJnKO,,2021/06/17,甲斐田晴,P丸様。,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】踊,,,,https://youtu.be/h20d_-Yj6bM?si=Uo0XBxBcs9K6n-hj,https://youtu.be/h20d_-Yj6bM?si=Uo0XBxBcs9K6n-hj,,2021/06/20,甲斐田晴,Ado,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】flos,233,,,https://youtu.be/VaQYNkDGTXc?si=gr7FwWj4vh8E1FRb,https://youtu.be/VaQYNkDGTXc?si=gr7FwWj4vh8E1FRb,,2021/07/09,甲斐田晴,R Sound Design,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】チルドレンレコード(Re:boot),88,,,https://youtu.be/jwZWSFlV7L0?si=J7xl3ap89F8e4jJg,https://youtu.be/jwZWSFlV7L0?si=J7xl3ap89F8e4jJg,,2021/08/15,甲斐田晴,じん,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
むじんとうのうた,0,,,,https://youtu.be/2tOFX4gIEXY?si=6C0sZLaEQwbS2rlB&t=996,,2021/10/21,ROF-MAO,甲斐田晴,甲斐田晴,菊谷知樹,ROF-MAO,FALSE,TRUE,FALSE,,,FALSE,,,,,FALSE,112,,,https://youtu.be/2tOFX4gIEXY?si=6C0sZLaEQwbS2rlB,https://rof-mao.lnk.to/crack_upID,,,,20,,,,,,15,,,,,,15,,,,20,4,0,20,17.5,70
【Cover】はなればなれの君へ,164,,,https://youtu.be/ig5N8YGuPn4?si=BhNs47thlsp4N_sk,https://youtu.be/ig5N8YGuPn4?si=BhNs47thlsp4N_sk,,2021/10/25,甲斐田晴,Belle,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
"New street, New world",219,,,https://youtu.be/ujRs5GpOkj0?si=LaVkHvq273Llfjon,https://youtu.be/ujRs5GpOkj0?si=LaVkHvq273Llfjon,,2021/11/19,ROF-MAO,Q-MHz,Q-MHz,Q-MHz、 eba,ROF-MAO,TRUE,FALSE,TRUE,,,TRUE,,https://www.youtube.com/live/JZ3sYu1WDC8?si=89wHRZQvg3gRGnkR&t=2045,,,FALSE,208,,https://rof-mao.lnk.to/crack_upID,,,,,25,,5,30,,,,12.5,,,27.5,,,,,,,,5,3,30,20,100
【Cover】閃光,,,,https://youtube.com/shorts/9Jcmjnje6JM?si=10qZ6YjPHwst7hXS,https://youtube.com/shorts/9Jcmjnje6JM?si=10qZ6YjPHwst7hXS,,2021/11/24,甲斐田晴,[Alexandros],-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】神っぽいな,237,,,https://youtu.be/S1VbTlYP74A?si=Pt9dV8NWxCpngThk,https://youtu.be/S1VbTlYP74A?si=Pt9dV8NWxCpngThk,,2021/12/23,甲斐田晴,ピノキオピー,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
前進宣言,1123,,,https://youtu.be/8h7r8HEnZBE?si=ccff4IKu86binoED,https://youtu.be/8h7r8HEnZBE?si=ccff4IKu86binoED,,2022/01/28,ROF-MAO,syudou,syudou,syudou,ROF-MAO,TRUE,FALSE,TRUE,,,FALSE,,,,,TRUE,197,,https://rof-mao.lnk.to/crack_upID,,,,,22.5,,20,30,,,,,,2.5,25,,,,,,,,5,2,30,20,100
I wanna! You wanna!,2023,,,https://youtu.be/UHIzGsYHic8?si=3zRZjpwM2aRMgytB,https://youtu.be/UHIzGsYHic8?si=3zRZjpwM2aRMgytB,,2022/04/01,ROF-MAO,首藤義勝,首藤義勝,首藤義勝,ROF-MAO,TRUE,FALSE,TRUE,,,TRUE,,https://www.youtube.com/live/Ip0bQfyoqgs?si=ED0rW-PTmdgB1Hug&t=7724,,CDL,FALSE,152,,https://rof-mao.lnk.to/crack_upID,https://www.instagram.com/tv/Cga2gbelgmg/?igsh=MWFmMWh1MTI0YWt1Yw==,https://www.instagram.com/tv/CgbdibPFNx_/?igsh=dG9nYzlpaGczd3g=,,,,,30,,,25,2.5,7.5,,,17.5,17.5,,,,,,,6,2,30,16.66666667,100
【Cover】六兆年と一夜物語,42,,,https://youtu.be/VtLFKW6wkJI?si=8XSmodCvACb5S2Fh,https://youtu.be/VtLFKW6wkJI?si=8XSmodCvACb5S2Fh,,2022/04/04,甲斐田晴,kemu,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】オツキミリサイタル,36,,,https://youtu.be/A-Rb8CZZDnA?si=ZFDfKgbC7OmahoVN,https://youtu.be/A-Rb8CZZDnA?si=ZFDfKgbC7OmahoVN,,2022/04/05,甲斐田晴,じん,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】乙女解剖,50,,,https://youtu.be/fA6Tko00RKw?si=DTZVt0whNitX3znQ,https://youtu.be/fA6Tko00RKw?si=DTZVt0whNitX3znQ,,2022/04/06,甲斐田晴,DECO*27,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】トリノコシティ,34,,,https://youtu.be/Yqxu_uzXg5k?si=fpPMbuUK8Ov_6tyh,https://youtu.be/Yqxu_uzXg5k?si=fpPMbuUK8Ov_6tyh,,2022/04/07,甲斐田晴,40mP,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】太陽系デスコ,51,,,https://youtu.be/VHEqXFM0Pjw?si=-5xMV2na4MYU0teK,https://youtu.be/VHEqXFM0Pjw?si=-5xMV2na4MYU0teK,,2022/04/08,甲斐田晴,ナユタン星人,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】Glory Steady Go!,29,,,https://youtu.be/PyZr1Rq34AM?si=6LjZ-u0d09Xs7k3h,https://youtu.be/PyZr1Rq34AM?si=6LjZ-u0d09Xs7k3h,,2022/04/09,甲斐田晴,キノシタ,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,10,,10,,,30,30,10,,,,,,,,,,,5,2,30,18,90
【Cover】オートファジー,39,,,https://youtu.be/0wLq9LQbFlM?si=W751mUv1LwmTHcEu,https://youtu.be/0wLq9LQbFlM?si=W751mUv1LwmTHcEu,,2022/04/10,甲斐田晴,柊キライ,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,5,,,,,25,25,,35,,,,,,4,3,35,22.5,90
【Cover】初恋の絵本,30,,,https://youtu.be/LBEM324EF4o?si=5hm3HwwykJNezuWr,https://youtu.be/LBEM324EF4o?si=5hm3HwwykJNezuWr,,2022/04/11,甲斐田晴,HoneyWorks,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,20,25,,,,,,,25,,20,,4,2,25,22.5,90
【Cover】グッバイ宣言,37,,,https://youtu.be/hGa2nYDcx3E?si=INuxZY6HiFJUpxHE,https://youtu.be/hGa2nYDcx3E?si=INuxZY6HiFJUpxHE,,2022/04/12,甲斐田晴,Chinozo,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
Let's Get The Party Started!,187,,,,https://youtu.be/CQSQShagyEY?si=hZmU9Oi6l9ztRR-L,,2022/04/13,ROF-MAO,前山田健一,前山田健一,渡辺泰司,ROF-MAO,FALSE,FALSE,TRUE,,,FALSE,,,,,FALSE,126,,https://rof-mao.lnk.to/crack_upID,https://www.instagram.com/tv/CgdaYc7lrXV/?igsh=eXRraXVkOXh5Y29x,https://www.instagram.com/tv/CgeBJ5kFM3f/?igsh=OW8wZG5leXdkcmNj,,,,,25,,,20,,,,12.5,10,10,,,,,,22.5,6,1,25,16.66666667,100
知っている手紙,118,,,https://youtu.be/XDwqCbA1cIU?si=DparkH6Ryhf8I_mv,https://youtu.be/XDwqCbA1cIU?si=DparkH6Ryhf8I_mv,,2022/04/13,ROF-MAO,広川恵一（MONACA）,広川恵一（MONACA）,広川恵一（MONACA）,ROF-MAO,TRUE,FALSE,TRUE,,,FALSE,,,,,FALSE,138,,https://rof-mao.lnk.to/crack_upID,,,,,,15,,,,15,,20,,,,,,,,30,20,,5,1,30,20,100
ラックハック,233,,,,https://youtu.be/p3SL-3518n8?si=Pg7_D1O2VWldabFf,,2022/04/13,ROF-MAO,ノイ,ノイ,ノイ,ROF-MAO,FALSE,FALSE,TRUE,,,TRUE,,https://www.youtube.com/live/qVylRMGabv8?si=mrE7J-ADNPplTvNF&t=2382,,,FALSE,146,,https://rof-mao.lnk.to/crack_upID,,,,,20,,,,,,,7.5,7.5,,30,35,,,,,,,5,2,35,20,100
【Cover】シネマ,52,,,https://youtu.be/h870uVJEYrc?si=puxuowmMj8jvsMwv,https://youtu.be/h870uVJEYrc?si=puxuowmMj8jvsMwv,,2022/04/13,甲斐田晴,Ayase,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】シャルル,49,,,https://youtu.be/ZG1QKqFhhZU?si=1cCxKIzMqy5zdxqd,https://youtu.be/ZG1QKqFhhZU?si=1cCxKIzMqy5zdxqd,,2022/04/14,甲斐田晴,バルーン,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】からくりピエロ,39,,,https://youtu.be/i3a0GJK7gzs?si=DpQG3-16t7-uzZYG,https://youtu.be/i3a0GJK7gzs?si=DpQG3-16t7-uzZYG,,2022/04/15,甲斐田晴,40mP,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】夜もすがら君想ふ,50,,,https://youtu.be/bdxaob6w21E?si=JsCSijnC4NjouMFY,https://youtu.be/bdxaob6w21E?si=JsCSijnC4NjouMFY,,2022/04/16,甲斐田晴,TOKOTOKO（西沢さんP）,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】シル・ヴ・プレジデント,32,,,https://youtu.be/1x5VEkqfxlQ?si=JP7hN17Xw8n1GYsL,https://youtu.be/1x5VEkqfxlQ?si=JP7hN17Xw8n1GYsL,,2022/04/17,甲斐田晴,P丸様。,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】命に嫌われている。,35,,,https://youtu.be/rQuELdVN-3Y?si=yrXtnLGjyhjM1xCg,https://youtu.be/rQuELdVN-3Y?si=yrXtnLGjyhjM1xCg,,2022/04/18,甲斐田晴,カンザキイオリ,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】ヴィラン,33,,,https://youtu.be/LrlqFxrNPeo?si=cIMqTuC2jfkbh1I-,https://youtu.be/LrlqFxrNPeo?si=cIMqTuC2jfkbh1I-,,2022/04/19,甲斐田晴,てにをは,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】フォニイ,48,,,https://youtu.be/yAMQH1sOgYI?si=9KkjhgdYCa_uqNvT,https://youtu.be/yAMQH1sOgYI?si=9KkjhgdYCa_uqNvT,,2022/04/20,甲斐田晴,ツミキ,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】小悪魔だってかまわない！,43,,,https://youtu.be/ubPNomFw9Q4?si=2yrxWMhf9ZZvB3KP,https://youtu.be/ubPNomFw9Q4?si=2yrxWMhf9ZZvB3KP,,2022/04/21,甲斐田晴,めいちゃん・HoneyWorks,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】ベノム,34,,,https://youtu.be/_2VJlQULyrk?si=DQ-uCP3ftj1ZfVJx,https://youtu.be/_2VJlQULyrk?si=DQ-uCP3ftj1ZfVJx,,2022/04/22,甲斐田晴,かいりきベア,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,5,,,,,,35,10,,,,10,15,,,,,5,6,1,35,13.33333333,80
【Cover】二息歩行(Reloaded),23,,,https://youtu.be/JsUvXR45y_I?si=RIo9LPQDmpc01LDQ,https://youtu.be/JsUvXR45y_I?si=RIo9LPQDmpc01LDQ,,2022/04/23,甲斐田晴,DECO*27,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】夜咄ディセイブ,31,,,https://youtu.be/FeYmpzNszB4?si=UsiWB39ZO5VmydJD,https://youtu.be/FeYmpzNszB4?si=UsiWB39ZO5VmydJD,,2022/04/24,甲斐田晴,じん,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】キミノヨゾラ哨戒班,36,,,https://youtu.be/7L70bZ2pmYo?si=sz75iU4nRNLv9GAu,https://youtu.be/7L70bZ2pmYo?si=sz75iU4nRNLv9GAu,,2022/04/25,甲斐田晴,Orangestar,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】少女レイ,55,,,https://youtu.be/P9lyzlKb3PI?si=JsS2c8aLWOFMM4Kp,https://youtu.be/P9lyzlKb3PI?si=JsS2c8aLWOFMM4Kp,,2022/04/26,甲斐田晴,みきとP,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】ハロ／ハワユ,60,,,https://youtu.be/qArY1qi76dU?si=90_X87Akb9Q-ynih,https://youtu.be/qArY1qi76dU?si=90_X87Akb9Q-ynih,,2022/04/27,甲斐田晴,ナノウ,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】EYE,39,,,https://youtu.be/OGtofLNptE0?si=-3XUoecgVuiUkM2B,https://youtu.be/OGtofLNptE0?si=-3XUoecgVuiUkM2B,,2022/04/28,甲斐田晴,Kanaria,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】フロムトーキョー,36,,,https://youtu.be/lYF0YBYiWJc?si=ZFTK6J_LeVE6_CFl,https://youtu.be/lYF0YBYiWJc?si=ZFTK6J_LeVE6_CFl,,2022/04/29,甲斐田晴,夏代孝明,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】セカイはまだ始まってすらいない,38,,,https://youtu.be/y-dssU0krZQ?si=ZbYKO6rwUeDb1fUW,https://youtu.be/y-dssU0krZQ?si=ZbYKO6rwUeDb1fUW,,2022/04/30,甲斐田晴,ピノキオピー,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
透明な心臓が泣いていた,576,,,https://youtu.be/mXtmU1Rmel8?si=QINM4nfRAgpJqVd0,https://youtu.be/mXtmU1Rmel8?si=QINM4nfRAgpJqVd0,,2022/05/06,甲斐田晴,堀江晶太,堀江晶太,堀江晶太,個人(ソロ),TRUE,FALSE,TRUE,TRUE,一唱入魂,TRUE,,https://www.youtube.com/live/fetc0Exwa8M?si=uV3i83ei-acK1nrq&t=3428,,3Dお披露目,FALSE,185,,https://linkco.re/qMXZnTAB,,,,,5,,15,,,,,10,30,,,,,10,5,10,15,,8,1,30,12.5,100
【Cover】敗北の少年,,,,,https://youtu.be/LG5Sokglvvg?si=AjC66omXAE2lVSkL,,2022/06/18,三枝明那、甲斐田晴,kemu,-,-,歌ってみた,FALSE,FALSE,FALSE,,,TRUE,https://youtu.be/LG5Sokglvvg?si=AjC66omXAE2lVSkL,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】DONBURA KONBURA SPEAKERS,484,,,https://youtu.be/Wwon9qK-vpQ?si=4yT0wlc1NG9Fxq-l,https://youtu.be/Wwon9qK-vpQ?si=4yT0wlc1NG9Fxq-l,,2022/06/24,VΔLZ,Ranunculus(ラナンキュラス),-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
Follow Your Heart,192,,,https://youtu.be/_x9yuEiI2Qk?si=Kgq-yNiL3ZLT8b1n,https://youtu.be/_x9yuEiI2Qk?si=Kgq-yNiL3ZLT8b1n,,2022/07/01,加賀美ハヤト&甲斐田晴 from ROF-MAO,ヨシダタクミ（saji）,ヨシダタクミ（saji）,河合英嗣,ROF-MAO,TRUE,FALSE,TRUE,,,FALSE,,,,,FALSE,135,,https://rof-mao.lnk.to/followID,,,,,,,,,,30,30,30,,,,,,,,10,,,4,3,30,25,100
【Cover】きみはマザーファッカー,,,,https://youtu.be/ivWPG8F5XfE?si=qwzayP5Ux8iLCDYj,https://youtu.be/ivWPG8F5XfE?si=qwzayP5Ux8iLCDYj,,2022/07/21,ROF-MAO,ザ・リーサルウェポンズ,-,-,歌ってみた,FALSE,FALSE,TRUE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
Shiny Sunny Step,,,,https://youtu.be/r-KERqlFgNc?si=kB7XXaxU3qbD_g8f,https://youtu.be/r-KERqlFgNc?si=kB7XXaxU3qbD_g8f,,2022/08/01,甲斐田晴,甲斐田晴,岡村大輔(OD),岡村大輔(OD),個人(ソロ),TRUE,TRUE,FALSE,TRUE,,TRUE,,https://www.youtube.com/live/soxEueAbxnA?si=r0vRvGydkvCaX5hc&t=12011,,年越23,FALSE,234,,https://linkco.re/DBzS2BD0,,,,,,,,,,45,20,10,,,,,,,,25,,,4,2,45,25,100
【Cover】神或アルゴリズム,102,,,https://youtu.be/WnI3i3sJ1es?si=WB7PN1aarb66PhkN,https://youtu.be/WnI3i3sJ1es?si=WB7PN1aarb66PhkN,,2022/08/14,葉加瀬冬雪、甲斐田晴,オーイシマサヨシ feat.りりあ。,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
パパンパ！Blue Summer Days,50,,,https://youtu.be/JrAEiCq5y7w?si=I8FTQiBc0gM_Zhhz,https://youtu.be/JrAEiCq5y7w?si=I8FTQiBc0gM_Zhhz,,2022/08/31,甲斐田晴,Q-MHz,Q-MHz,Q-MHz,個人(ソロ),TRUE,FALSE,FALSE,FALSE,,FALSE,,,,,TRUE,186,,https://linkco.re/7yCdFcFy,,,,,25,,40,,,30,,2.5,,,,,,,,,,2.5,5,3,40,20,100
一撃,631,,,,https://youtu.be/fc96asHhF8k?si=fZg5rzUCe4WWr5Uh,,2022/10/02,ROF-MAO,宮崎誠,宮崎誠,宮崎誠,ROF-MAO,FALSE,FALSE,TRUE,,フェス22,TRUE,https://youtu.be/fc96asHhF8k?si=fZg5rzUCe4WWr5Uh,https://www.youtube.com/live/qVylRMGabv8?si=7eP7KhyWh9BOd5aj&t=2140,https://www.youtube.com/live/JZ3sYu1WDC8?si=KxHRpRkMqwfjDQWM&t=2673,,FALSE,142,,https://rof-mao.lnk.to/overflowID,,,,,,,20,40,,,,,,,40,,,,,,,,3,2,40,33.33333333,100
ぼくのヒーロー,23,,,,https://youtu.be/xI5sCTYyl1s?si=hvqmutwuoF7s7dio,,2022/10/26,甲斐田晴,優莉,優莉,PHYZ,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,77,,https://linkco.re/DBzS2BD0,,,,,,25,,,,,,,2.5,,,,5,,30,27.5,10,,6,3,30,16.66666667,100
cycle,34,,,,https://youtu.be/7yBiijUd4xM?si=j_Mq_yB_fiVka19f,,2022/10/26,甲斐田晴,Sekimen,Sekimen,岡村 大輔,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,130,,https://linkco.re/DBzS2BD0,,,,,,5,,,,,,,,5,25,15,40,,,,10,,6,2,40,16.66666667,100
パラレルノー細胞,42,,,,https://youtu.be/NnCZbTATu30?si=d7kZYLPH07FZUMfF,,2022/10/26,甲斐田晴,優莉,優莉,PHYZ,個人(ソロ),FALSE,FALSE,TRUE,,一唱入魂,TRUE,,https://www.youtube.com/live/qdQtHY34W08?si=UgsTSJzGXlg4vYfi&t=1713,,5周年演奏,TRUE,160,,https://linkco.re/DBzS2BD0,,,,,10,,25,15,30,,,,,,20,,,,,,,,5,2,30,20,100
清風,33,,,,https://youtu.be/Ly8_v8iKfwo?si=xJN8WW-EsML4svE7,,2022/10/26,甲斐田晴,超ファラオ,飯島 貴政,岡村 大輔,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,172,,https://linkco.re/DBzS2BD0,,,,,5,,,,,10,,35,30,,,,,,,20,,,5,2,35,20,100
UNSEEN TREASURES,57,,,https://youtu.be/18H9NQWKT44?si=ydT4YIPvVjkpvRie,https://youtu.be/18H9NQWKT44?si=ydT4YIPvVjkpvRie,,2022/10/26,甲斐田晴,甲斐田晴,甲斐田晴、PHYZ,PHYZ、岡村 大輔,個人(ソロ),TRUE,TRUE,FALSE,,,FALSE,,,,,TRUE,140,,https://linkco.re/DBzS2BD0,,,,,,,,,,35,,35,,,,,,,,20,10,,4,2,35,25,100
寝すぎてヤバスンギ,0,,,,https://x.com/Kaida_Haru/status/1599356579538948096?s=20,,2022/12/04,甲斐田晴,甲斐田晴,甲斐田晴,-,その他,FALSE,TRUE,FALSE,FALSE,,FALSE,,,,,FALSE,194,,,https://x.com/Kaida_Haru/status/1599356579538948096?s=20,,,,2,,2,,,16,,,,,,,,,,,,15,4,0,16,8.75,35
前向きフェニックス,0,,,,https://youtu.be/Ptwg1EUJfdU?si=JYxVgpF1MVVkGWMQ&t=702,,2023/02/23,加賀美ハヤト,剣持刀也、不破湊、甲斐田晴,甲斐田晴,-,ROF-MAO,TRUE,TRUE,TRUE,,,FALSE,,,,,TRUE,160,https://youtube.com/shorts/X0MJumKh1ZE?si=1RUwq1a5RuMrDH5p,,https://youtu.be/Ptwg1EUJfdU?si=JYxVgpF1MVVkGWMQ&t=702,,,,,,20,20,,10,,,,,,,,,,,,20,4,0,20,17.5,70
何色,131,,,https://www.youtube.com/watch?v=nZxaIPSY_Ks,https://youtu.be/nZxaIPSY_Ks?si=PrUxj6PEIVD57aj5,,2023/04/03,甲斐田晴,堀江晶太,堀江晶太,堀江晶太,個人(ソロ),TRUE,FALSE,TRUE,,三華仙台,FALSE,,,,,FALSE,130,,https://linkco.re/QZH1qXqY,,,,,,10,,,,,,,45,,,,,15,,20,10,,5,1,45,20,100
ウィーアーポップスター,364,,,https://youtu.be/5Yx8dWKiISE?si=DBEl2DBncVI-rDOk,https://youtu.be/5Yx8dWKiISE?si=DBEl2DBncVI-rDOk,,2023/04/21,ROF-MAO,アイキッド,アイキッド,齋藤真也,ROF-MAO,TRUE,FALSE,TRUE,,,TRUE,,https://www.youtube.com/live/qVylRMGabv8?si=wzBXNsxTBrZVGb8g&t=1925,,,TRUE,194,,https://rof-mao.lnk.to/overflowID,,,,,,,22.5,,,25,25,,,,2.5,,,,,,,25,5,3,25,20,100
No Reason.,151,,,https://youtu.be/TKG9lqZ6fHk?si=OWi2eJ-gJ1ORbPZd,https://youtu.be/TKG9lqZ6fHk?si=OWi2eJ-gJ1ORbPZd,,2023/06/09,VΔLZ,Sekimen(PHYZ),Sekimen(PHYZ),白神真志朗,VΔLZ,TRUE,FALSE,TRUE,,一唱入魂、三華横浜仙台,TRUE,https://youtu.be/ZtyDsJG311Y?si=w7BnlyvNbLN9fWOz,https://www.youtube.com/live/Rz0O68Ejblw?si=c1IEAKYt8JS-sKI8&t=1877,,,FALSE,101,,https://nex-tone.link/A00118695,,,重厚なバンドアンサンブルが印象的,,,,,20,37,,,,,3,25,15,,,,,,,5,2,37,20,100
