曲名,再生数,MV再生,サブスク再生,MVリンク,サムネ用リンク,プレイリスト用サムネ,公開日,歌唱,作詞,作曲,編曲,ユニット,MV公開,本人の作詞/作曲,有観客ライブ披露済み,オンラインライブ等で披露済,メモ1,3D映像公開,3Dリンク,3Dリンク2,3Dリンク3,メモ2,独特なコーレス,BPM,Shortsリンク,サブスクリンク,その他リンク,その他2,説明,メモ3,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用
【Cover】睨めっ娘,32,,,https://youtu.be/7hXHVsLtTFs?si=lbL1R2tcoD4klvQI,https://youtu.be/7hXHVsLtTFs?si=lbL1R2tcoD4klvQI,,2025/11/18,甲斐田晴,友成空,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,165,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】イージーゲーム,37,,,https://youtu.be/XjWuUcj3etY?si=I4t_TTde9Q35NQWH,https://youtu.be/XjWuUcj3etY?si=I4t_TTde9Q35NQWH,,2025/12/07,本間ひまわり、甲斐田晴,natsumi feat. 和ぬか,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,166,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】勇者,42,,,https://youtu.be/B6vGn-riWJ4?si=NQb7yEY_ikJV5HBi,https://youtu.be/B6vGn-riWJ4?si=NQb7yEY_ikJV5HBi,,2026/01/24,甲斐田晴、海妹四葉,YOASOBI,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,104,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】シャンティ,63,,,https://youtu.be/5jI9ntBvtcg?si=YGjz4YncL2SgZqsY,https://youtu.be/5jI9ntBvtcg?si=YGjz4YncL2SgZqsY,,2026/02/09,甲斐田晴,wotaku,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,144,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】シルエット,32,,,https://youtu.be/80rNyHfHa5E?si=7GQGQMfgovYtiZMl,https://youtu.be/80rNyHfHa5E?si=7GQGQMfgovYtiZMl,,2026/02/21,VΔLZ,KANA-BOON,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,183,https://youtube.com/shorts/VJSd_dogRrY?si=NgC2mQoath7de0wc,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】オトノケ,,,,https://youtu.be/SQSdux85Kr4?si=ywQ23N5TbqlcbZqH,https://youtu.be/SQSdux85Kr4?si=ywQ23N5TbqlcbZqH,,2026/03/02,甲斐田晴,Creepy Nuts,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,170,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】テレパシ,,,,https://youtube.com/shorts/xDvCBSjmAMI?si=gHAsrdwOLPzMMFpr,https://youtube.com/shorts/xDvCBSjmAMI?si=gHAsrdwOLPzMMFpr,,2026/03/03,甲斐田晴,DECO*27,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
CRACKS,,,,,https://www.nijisanji.jp/news/qqur-196w,,2026/04/15,甲斐田晴,じん,じん,じん、すくろーす,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
STORM,,,,,https://www.nijisanji.jp/news/qqur-196w,,2026/04/15,甲斐田晴,田邊駿一,田邊駿一,鶴﨑輝一,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
アイスブレイクブレイカー,,,,,https://www.nijisanji.jp/news/qqur-196w,,2026/04/15,甲斐田晴,安部大希-amazuti-,安部大希-amazuti- / 宮崎諒-amazuti-,宮崎諒-amazuti-,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
